,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,38.07,76,59,2.01,GL,1624700297
1,Miles City,46.4083,-105.8406,58.17,62,75,3.44,US,1624700297
2,San Policarpo,12.1791,125.5072,83.39,72,100,2.21,PH,1624700298
3,Sitka,57.0531,-135.33,55.29,88,90,5.75,US,1624700298
4,Lebu,-37.6167,-73.65,43.77,81,6,7.63,CL,1624700299
5,Mar del Plata,-38.0023,-57.5575,49.12,60,90,3.0,AR,1624700099
6,Vaini,-21.2,-175.2,71.76,78,75,11.5,TO,1624700299
7,Saint George,37.1041,-113.5841,79.95,25,1,3.0,US,1624700227
8,Port Alfred,-33.5906,26.891,67.59,44,47,24.94,ZA,1624700300
9,Makueni Boma,-1.8041,37.6203,79.45,40,81,5.61,KE,1624700300
10,Hilo,19.7297,-155.09,74.93,85,90,4.61,US,1624700275
11,Muros,42.7762,-9.0603,73.17,68,100,6.89,ES,1624700301
12,Busselton,-33.65,115.3333,59.65,60,0,15.26,AU,1624700301
13,Kaitangata,-46.2817,169.8464,51.93,86,82,2.46,NZ,1624700301
14,Bluff,-46.6,168.3333,45.81,90,69,8.77,NZ,1624700302
15,Santa Isabel Rio Negro,-0.4139,-65.0192,70.18,99,51,1.9,BR,1624700302
16,Aljezur,37.3191,-8.8033,77.47,47,0,5.77,PT,1624700303
17,Rundu,-17.9333,19.7667,78.31,18,0,5.46,NA,1624700303
18,Pisco,-13.7,-76.2167,59.05,82,90,3.44,PE,1624700303
19,Barrow,71.2906,-156.7887,32.02,86,90,14.97,US,1624700304
20,Ponta do Sol,32.6667,-17.1,73.71,64,9,3.47,PT,1624700304
21,Saint Anthony,45.0205,-93.218,70.93,73,1,0.0,US,1624700305
22,Yar-Sale,66.8333,70.8333,58.69,40,24,10.29,RU,1624700305
23,São Filipe,14.8961,-24.4956,75.69,80,100,6.46,CV,1624700305
24,Rikitea,-23.1203,-134.9692,73.45,79,30,7.2,PF,1624700306
25,Ribeira Grande,38.5167,-28.7,66.6,88,40,6.91,PT,1624700306
26,Mataura,-46.1927,168.8643,45.48,99,98,2.59,NZ,1624700307
27,Ocampo,21.65,-101.5,54.5,93,57,4.65,MX,1624700307
28,Tabou,4.423,-7.3528,78.66,84,100,0.58,CI,1624700307
29,Bengkulu,-3.8004,102.2655,82.13,80,83,3.71,ID,1624700308
30,Upernavik,72.7868,-56.1549,38.7,79,100,9.17,GL,1624700308
31,Dekar,-21.5333,21.9333,74.95,20,0,5.84,BW,1624700309
32,Castro,-24.7911,-50.0119,56.17,97,86,6.08,BR,1624700309
33,Rūdbār,30.15,62.6,103.75,9,0,19.53,AF,1624700309
34,Tiznit Province,29.5833,-9.5,78.42,33,0,5.5,MA,1624700310
35,Ushuaia,-54.8,-68.3,40.66,70,40,13.8,AR,1624700310
36,Fortuna,40.5982,-124.1573,55.36,74,90,1.01,US,1624700310
37,Mineral Wells,32.8085,-98.1128,79.02,78,75,10.36,US,1624700311
38,Pangody,65.85,74.4859,60.98,35,6,12.95,RU,1624700311
39,Rocha,-34.4833,-54.3333,46.24,79,100,4.27,UY,1624700311
40,Los Llanos de Aridane,28.6585,-17.9182,66.13,76,75,12.66,ES,1624700312
41,Emba,48.8264,58.1442,93.34,26,13,12.62,KZ,1624700312
42,Kisesa,-3.0833,34.15,80.96,30,64,8.57,TZ,1624700313
43,Puerto Escondido,15.85,-97.0667,77.7,72,100,3.87,MX,1624700216
44,Butaritari,3.0707,172.7902,83.26,77,100,13.89,KI,1624700313
45,Dicabisagan,17.0818,122.4157,83.37,81,34,7.61,PH,1624700314
46,Panabá,21.2833,-88.2667,70.47,93,87,4.59,MX,1624700314
47,Hasaki,35.7333,140.8333,74.17,85,100,6.87,JP,1624700314
48,Abéché,13.8292,20.8324,98.62,24,0,11.5,TD,1624700315
49,Bozdar Wada,27.1828,68.636,100.47,12,0,11.3,PK,1624700315
50,Cayenne,4.9333,-52.3333,76.08,89,75,1.14,GF,1624700316
51,Imbituba,-28.24,-48.6703,62.82,90,9,12.3,BR,1624700316
52,Laguna,38.421,-121.4238,72.84,82,1,4.0,US,1624700316
53,Newport,51.5877,-2.9984,65.43,78,96,11.03,GB,1624700022
54,Shishou,29.7226,112.419,92.01,66,89,3.47,CN,1624700317
55,Biak,-0.9131,122.8766,78.39,82,86,3.62,ID,1624700317
56,Punta Arenas,-53.15,-70.9167,35.71,80,0,4.61,CL,1624700158
57,Tazovsky,67.4667,78.7,51.69,46,7,16.2,RU,1624700318
58,Hurghada,27.2574,33.8129,90.59,42,0,21.68,EG,1624700318
59,Jamestown,42.097,-79.2353,72.99,65,90,7.0,US,1624700098
60,Ankang,32.68,109.0172,70.66,97,100,0.65,CN,1624700319
61,Bethel,41.3712,-73.414,69.1,91,100,2.89,US,1624700319
62,Coahuayana Viejo,18.7333,-103.6833,75.31,83,100,5.44,MX,1624700319
63,Saint-Philippe,-21.3585,55.7679,78.35,80,47,12.39,RE,1624700320
64,Province of Mantua,45.1667,10.7833,85.33,56,2,5.99,IT,1624700320
65,Tuatapere,-46.1333,167.6833,45.82,95,95,3.98,NZ,1624700321
66,Thompson,55.7435,-97.8558,46.56,71,1,6.91,CA,1624700321
67,Marovoay,-16.1,46.6333,87.94,29,0,3.89,MG,1624700321
68,Tuktoyaktuk,69.4541,-133.0374,34.11,93,100,9.06,CA,1624700322
69,Taoudenni,22.6783,-3.9836,106.99,11,54,9.95,ML,1624700322
70,Okhotsk,59.3833,143.3,58.64,70,8,5.5,RU,1624700323
71,Beringovskiy,63.05,179.3167,42.22,68,28,7.45,RU,1624700323
72,Saldanha,-33.0117,17.9442,59.05,63,100,9.26,ZA,1624700323
73,Todos Santos,23.45,-110.2167,81.75,79,95,4.59,MX,1624700324
74,Cidreira,-30.1811,-50.2056,59.65,86,80,18.54,BR,1624700324
75,Kiryat Gat,31.61,34.7642,91.4,41,0,13.02,IL,1624700165
76,Torbay,47.6666,-52.7314,57.58,94,75,16.11,CA,1624700128
77,Bonthe,7.5264,-12.505,75.97,88,100,5.55,SL,1624700325
78,Atuona,-9.8,-139.0333,78.73,78,21,17.76,PF,1624700326
79,Amapá,1.0,-52.0,68.94,99,34,1.01,BR,1624700326
80,Linguère,15.3953,-15.1193,79.02,83,0,4.61,SN,1624700326
81,Eilat,29.5581,34.9482,96.42,25,0,8.05,IL,1624700327
82,Carnarvon,-24.8667,113.6333,66.27,34,98,8.05,AU,1624700327
83,Saint Paul Harbor,57.79,-152.4072,47.71,93,90,13.8,US,1624700327
84,Tiksi,71.6872,128.8694,38.46,77,62,6.98,RU,1624700328
85,Conceição da Barra,-18.5933,-39.7322,70.12,80,94,3.31,BR,1624700328
86,Te Anau,-45.4167,167.7167,47.61,93,100,1.57,NZ,1624700329
87,Meridian,43.6121,-116.3915,71.92,56,1,1.01,US,1624700113
88,Dogondoutchi,13.6393,4.0287,94.23,33,53,4.9,NE,1624700329
89,Hithadhoo,-0.6,73.0833,82.18,73,99,10.63,MV,1624700330
90,Yellowknife,62.456,-114.3525,54.12,87,75,3.44,CA,1624700330
91,Tasiilaq,65.6145,-37.6368,53.76,59,51,4.65,GL,1624700330
92,Khatanga,71.9667,102.5,53.19,40,88,8.28,RU,1624700331
93,Arlit,18.7369,7.3853,104.94,11,49,11.32,NE,1624700331
94,Albany,42.6001,-73.9662,68.54,88,100,4.45,US,1624700331
95,Rio Grande,-32.035,-52.0986,57.49,84,100,13.15,BR,1624700332
96,Narsaq,60.9167,-46.05,46.62,94,100,2.64,GL,1624700332
97,Puerto Quijarro,-17.7833,-57.7667,66.36,65,28,1.59,BO,1624700333
98,Oussouye,12.485,-16.5469,84.29,66,97,2.91,SN,1624700333
99,Codrington,-38.2667,141.9667,51.64,82,100,15.82,AU,1624700333
100,Kathu,7.9178,98.3332,86.7,75,38,9.15,TH,1624700334
101,Moura,38.1401,-7.4486,69.91,28,1,8.34,PT,1624700334
102,Wewak,-3.5534,143.6268,78.84,86,80,5.12,PG,1624700334
103,Portland,45.5234,-122.6762,76.21,73,1,3.44,US,1624699815
104,Sovetskiy,61.3614,63.5842,58.93,71,100,1.32,RU,1624700335
105,Kirillov,59.863,38.3813,85.93,38,39,9.08,RU,1624700335
106,Kapaa,22.0752,-159.319,80.92,80,90,4.61,US,1624700336
107,Bhag,29.0415,67.8239,110.55,17,0,11.21,PK,1624700336
108,Nueva Concepción,14.2,-91.3,78.46,84,100,2.48,GT,1624700337
109,Resistencia,-27.4606,-58.9839,60.06,95,90,2.3,AR,1624700327
110,East London,-33.0153,27.9116,68.94,32,0,17.27,ZA,1624700337
111,Tabas,33.5959,56.9244,98.83,10,0,15.05,IR,1624700337
112,Cape Town,-33.9258,18.4232,61.88,54,75,5.99,ZA,1624700338
113,Cherëmukhovo,60.3484,59.9851,68.97,83,45,7.4,RU,1624700338
114,Córdoba,-31.4135,-64.1811,48.42,84,90,7.0,AR,1624700152
115,Cherskiy,68.75,161.3,67.69,40,66,2.82,RU,1624700339
116,Boa Vista,2.8197,-60.6733,76.98,88,75,4.61,BR,1624700339
117,Port Elizabeth,-33.918,25.5701,67.1,55,20,14.97,ZA,1624700340
118,Armidale,-30.5167,151.65,35.82,92,5,3.69,AU,1624700340
119,Nuuk,64.1835,-51.7216,41.61,93,90,17.27,GL,1624700341
120,Grover Beach,35.1216,-120.6213,62.13,82,90,1.01,US,1624700341
121,Benguela,-12.5763,13.4055,80.96,57,52,5.59,AO,1624700341
122,Bambous Virieux,-20.3428,57.7575,74.21,88,75,16.11,MU,1624700342
123,Dikson,73.5069,80.5464,31.91,92,21,5.75,RU,1624700342
124,New Norfolk,-42.7826,147.0587,52.57,72,94,5.41,AU,1624700343
125,Marrakesh,31.6315,-8.0083,77.07,57,0,2.3,MA,1624700104
126,Mana,5.6592,-53.7767,75.79,89,18,6.55,GF,1624700343
127,Saskylakh,71.9167,114.0833,44.46,70,100,6.04,RU,1624700344
128,Santa Cruz de la Sierra,-17.8,-63.1667,71.06,100,75,17.27,BO,1624700344
129,George Town,5.4112,100.3354,89.55,65,40,1.01,MY,1624700094
130,Piteå,65.3172,21.4794,69.1,47,52,4.21,SE,1624700345
131,Cheney,47.4874,-117.5758,68.34,69,0,2.19,US,1624700345
132,Carmelo,-33.9892,-58.2856,51.17,90,91,5.35,UY,1624700056
133,Haines Junction,60.7522,-137.5108,42.75,93,97,1.14,CA,1624700346
134,Kaseda-shirakame,31.4167,130.3167,74.43,76,100,14.56,JP,1624700346
135,Kastamonu Province,41.5,33.6667,74.05,59,65,7.9,TR,1624700347
136,Santa Marta,11.2408,-74.199,81.99,77,100,3.85,CO,1624700188
137,Aklavik,68.2191,-135.0107,47.12,82,99,10.58,CA,1624700347
138,Timrå,62.487,17.3257,65.91,59,90,4.61,SE,1624700348
139,Dunedin,-45.8742,170.5036,50.81,90,63,3.11,NZ,1624700348
140,Lanivtsi,49.8633,26.0908,67.82,87,100,7.14,UA,1624700349
141,Esperance,-33.8667,121.9,57.04,58,3,7.99,AU,1624700349
142,Mariehamn,60.0973,19.9348,66.06,77,20,10.36,AX,1624700350
143,Anloga,5.7947,0.8973,79.02,73,100,11.18,GH,1624700350
144,Awjilah,29.1081,21.2869,101.08,17,0,10.0,LY,1624700350
145,Scarborough,54.2797,-0.4044,59.79,82,49,1.01,GB,1624700351
146,Hobart,-42.8794,147.3294,52.92,68,75,5.01,AU,1624700351
147,Soe,-9.8607,124.284,68.25,85,45,5.64,ID,1624700351
148,Kosonsoy,41.2561,71.5508,82.96,17,0,6.46,UZ,1624700352
149,Avera,33.194,-82.5271,71.26,87,56,4.43,US,1624700352
150,Arraial do Cabo,-22.9661,-42.0278,69.66,88,0,8.05,BR,1624700353
151,Wilmington,34.2257,-77.9447,75.85,92,75,0.0,US,1624700243
152,Ayan,56.45,138.1667,52.09,81,16,12.68,RU,1624700353
153,Shimoda,34.6667,138.95,76.15,80,100,5.03,JP,1624700354
154,Khovd,48.0056,91.6419,69.76,19,88,10.54,MN,1624700354
155,Walvis Bay,-22.9575,14.5053,70.27,43,2,9.28,NA,1624700354
156,General Roca,-39.0333,-67.5833,39.56,54,0,10.18,AR,1624700355
157,Valparaíso,-33.0393,-71.6273,50.47,74,2,10.94,CL,1624700355
158,Berlevåg,70.8578,29.0864,48.27,69,58,16.58,NO,1624700356
159,Venado,22.9333,-101.0833,61.29,92,39,3.74,MX,1624700356
160,Ixtapa,20.7,-105.2,72.23,98,51,1.01,MX,1624700356
161,Road Town,18.4167,-64.6167,80.69,78,72,14.7,VG,1624700357
162,Geraldton,-28.7667,114.6,64.81,45,100,6.91,AU,1624700358
163,Marang,5.2056,103.2059,89.51,74,39,9.33,MY,1624700358
164,Kargil,34.5667,76.1,59.76,29,100,8.57,IN,1624700358
165,Chui,-33.6971,-53.4616,50.45,91,100,6.55,UY,1624700359
166,Lompoc,34.6391,-120.4579,60.01,78,90,5.75,US,1624700359
167,Puerto Ayora,-0.7393,-90.3518,71.55,92,80,1.99,EC,1624700359
168,Wanning,18.8003,110.3967,86.5,78,93,13.6,CN,1624700360
169,Nacala,-14.5428,40.6728,81.72,61,75,0.0,MZ,1624700360
170,Sakakah,29.9697,40.2064,105.37,6,0,15.14,SA,1624700172
171,Semporna,4.4818,118.6112,86.2,74,46,6.02,MY,1624700361
172,Cardonal,20.6,-99.1333,58.01,88,96,1.14,MX,1624700361
173,Padang,-0.9492,100.3543,86.05,87,98,5.08,ID,1624700362
174,Kyren,51.6828,102.1408,61.99,82,96,6.26,RU,1624700362
175,São José da Coroa Grande,-8.8978,-35.1478,74.17,74,93,8.97,BR,1624700362
176,Talnakh,69.4865,88.3972,51.19,53,99,27.36,RU,1624700363
177,Toguchin,55.2353,84.3858,62.89,68,100,10.49,RU,1624700363
178,Nakhon Phanom,17.3333,104.4167,91.2,77,100,4.54,TH,1624700364
179,Dalaba,10.7,-12.25,70.11,76,98,4.61,GN,1624700364
180,Ulaangom,49.9811,92.0667,69.96,34,76,10.18,MN,1624700364
181,Urusha,54.05,122.9,78.17,56,71,1.72,RU,1624700365
182,Sharjah city,25.3573,55.4033,111.54,17,0,13.8,AE,1624700341
183,Forsytheganj,52.6333,29.7333,82.67,55,100,4.09,BY,1624700365
184,Moose Factory,51.2585,-80.6094,46.4,87,1,6.91,CA,1624700366
185,Grindavik,63.8424,-22.4338,53.91,76,0,26.46,IS,1624700366
186,Burnie,-41.0667,145.9167,49.91,88,70,13.6,AU,1624700366
187,Dingle,10.9995,122.6711,80.71,83,100,3.56,PH,1624700367
188,Mnogovershinnyy,53.9353,139.9242,53.46,68,94,4.47,RU,1624700367
189,Hermanus,-34.4187,19.2345,59.81,67,61,24.14,ZA,1624700368
190,Taltal,-25.4,-70.4833,56.44,79,100,1.97,CL,1624700368
191,Gambēla,8.25,34.5833,91.51,42,99,3.22,ET,1624700368
192,Iqaluit,63.7506,-68.5145,35.33,93,90,15.99,CA,1624700369
193,Corinth,37.9407,22.9573,103.62,23,1,5.68,GR,1624700369
194,Seoul,37.5683,126.9778,78.37,63,40,8.05,KR,1624700117
195,Alta Floresta,-9.8756,-56.0861,69.33,76,67,2.44,BR,1624700370
196,Laurinburg,34.7741,-79.4628,73.02,94,90,3.44,US,1624700370
197,Arteaga,18.4667,-102.4167,60.53,91,100,2.39,MX,1624700370
198,Avarua,-21.2078,-159.775,73.45,68,20,19.57,CK,1624700371
199,Husavik,66.0449,-17.3389,60.71,46,0,6.02,IS,1624700371
200,Zhigansk,66.7697,123.3711,70.25,60,85,7.78,RU,1624700372
201,Brae,60.3964,-1.353,53.51,63,100,8.14,GB,1624700372
202,Abhā,18.2164,42.5053,87.62,6,0,5.75,SA,1624700372
203,Ryde,50.73,-1.1621,67.8,83,60,5.99,GB,1624700373
204,Lagoa,39.05,-27.9833,65.07,81,13,13.98,PT,1624700373
205,Koster,-25.863,26.8976,65.84,18,0,15.01,ZA,1624700374
206,Sur,22.5667,59.5289,102.15,32,0,10.51,OM,1624700374
207,Zheleznodorozhnyy,55.7503,38.0042,88.36,37,46,6.4,RU,1624700092
208,Santa Maria,-29.6842,-53.8069,51.1,100,90,5.75,BR,1624700152
209,Cochrane,51.1834,-114.4687,67.05,74,90,6.91,CA,1624700375
210,Nishihara,26.1842,127.7558,85.68,91,75,12.66,JP,1624700375
211,Umba,66.6871,34.3429,48.0,92,100,13.51,RU,1624700375
212,Houston,29.7633,-95.3633,81.99,84,1,4.0,US,1624700326
213,Champerico,14.3,-91.9167,82.35,75,100,7.56,GT,1624700376
214,Eureka,40.8021,-124.1637,55.63,95,32,1.01,US,1624700376
215,Viişoara,46.55,23.9167,80.6,61,20,3.0,RO,1624700377
216,Alekseyevsk,57.8406,108.3492,84.15,28,69,7.74,RU,1624700377
217,Kysyl-Syr,63.8986,122.7617,75.81,60,79,7.78,RU,1624700378
218,Buala,-8.145,159.5921,79.23,84,35,4.45,SB,1624700378
219,Severo-Kuril'sk,50.6789,156.125,43.23,93,68,14.5,RU,1624700378
220,Puerto Baquerizo Moreno,-0.9,-89.6,71.76,80,58,12.03,EC,1624700379
221,Jipijapa,-1.3333,-80.5833,67.33,89,76,3.56,EC,1624700379
222,Meulaboh,4.1363,96.1285,83.61,70,68,5.79,ID,1624700380
223,Māgadi,12.9667,77.2333,84.06,39,96,10.92,IN,1624700380
224,Clyde River,70.4692,-68.5914,34.03,100,90,16.11,CA,1624700380
